Literature	T(K)	P(bar)	mCO2
48	308.2	70.29	1.2609
48	308.2	79.63	1.3091
48	318.23	4.65	0.10121
48	318.23	10.45	0.21957
48	318.23	18.63	0.38005
48	318.23	19.84	0.4082
48	318.23	29.7	0.5811
48	318.23	30.01	0.5709
48	318.23	39.69	0.72714
48	318.23	39.77	0.70777
48	318.23	49.52	0.8499
48	318.23	49.82	0.86363
48	318.23	59.78	0.97147
48	318.23	59.92	0.97492
48	318.23	69.23	1.0722
48	318.23	69.84	1.078
48	318.23	79.33	1.1508
49	293.15	4.86	0.1795
49	293.15	7.5	0.2863
49	293.15	9.83	0.3499
49	293.15	14.69	0.5158
49	293.15	19.66	0.6658
49	293.15	29.38	0.9248
49	303.15	4.86	0.1545
49	303.15	14.69	0.434
49	303.15	19.66	0.5567
49	303.15	29.38	0.8407
51	294.15	100	1.476
51	294.15	300	1.681
51	294.15	600	1.93
52	323.15	101	1.176
52	323.15	201	1.334
52	323.15	301	1.431
53	323.15	101.33	1.121
53	323.15	152	1.191
53	348.15	101.33	0.88
53	348.15	152	1.064
54	348.3	103.4	1.081
54	348.3	153.1	1.087
54	421.4	101.8	0.8682
54	420.9	126.5	0.9485
54	421.4	148.1	1.058
54	420.9	174.5	1.116
55	313.2	0.9509	0.019991
55	313.2	2.4574	0.053896
55	313.2	3.9751	0.0884
55	313.2	5.5887	0.12406
55	313.2	7.1035	0.1581
55	313.2	8.8933	0.1972
55	313.2	11.248	0.24868
55	313.2	18.344	0.39862
55	313.2	46.671	0.92496
55	313.2	56.64	1.0763
55	313.2	66.438	1.204
55	313.2	92.319	1.4122
55	353.11	1.3423	0.012215
55	353.11	5.7858	0.074482
55	353.11	9.338	0.1235
55	353.11	14.582	0.19441
55	353.11	20.436	0.27165
55	353.11	27.289	0.3598
55	353.11	49.39	0.62364
55	353.11	66.999	0.8093
55	353.11	85.503	0.97952
55	373.26	1.7556	0.0083276
55	373.26	3.9475	0.033881
55	373.26	5.0979	0.047223
55	373.26	7.9506	0.080049
55	373.26	13.692	0.14526
55	373.26	21.336	0.2302
55	373.26	33.171	0.35699
55	373.26	44.378	0.47192
55	373.26	58.847	0.61285
55	373.26	71.28	0.726
55	373.26	81.869	0.81616
55	373.26	92.576	0.90202
55	393.17	2.0454	0.0016653
55	393.17	6.199	0.03944
55	393.17	8.4651	0.065578
55	393.17	15.345	0.12741
55	393.17	42.303	0.36317
55	393.17	63.226	0.51939
56	303.15	100	1.353
56	303.15	150	1.412
56	303.15	200	1.464
56	313.15	100	1.173
56	313.15	150	1.266
56	313.15	200	1.33
56	323.15	100	1.116
56	323.15	150	1.185
56	323.15	200	1.301
56	333.15	100	1.046
56	333.15	150	1.156
56	333.15	200	1.278
57	274.14	1.9	0.1458
57	274.83	12.01	0.7996
57	276.74	13.27	0.7996
57	278.22	2.28	0.1458
57	278.74	14.26	0.7996
57	283.38	17.32	0.7996
57	284.27	2.87	0.1458
57	284.73	39.38	1.4163
57	288.41	3.29	0.1458
57	289.2	20.62	0.7996
57	289.62	48.44	1.4163
57	292.35	51.72	1.4163
57	293.01	23.49	0.7996
57	293.34	3.85	0.1458
57	298.4	27.8	0.7996
57	299.06	10.08	0.3294
57	299.32	4.52	0.1458
57	303.99	4.99	0.1458
57	310.86	73.09	1.1427
57	311.62	6.3	0.1458
57	313.36	41.19	0.7996
57	321.64	7.79	0.1458
57	321.97	52.16	0.7996
57	322.14	93.33	1.1427
57	330.6	9.13	0.1458
57	341.24	10.86	0.1458
57	351.31	12.43	0.1458
58	332.15	33.4	0.531
58	332.15	62.7	0.872
58	332.15	101.4	1.145
58	332.15	117.6	1.185
58	332.15	156.2	1.293
58	332.15	198.9	1.42
61	298.15	100	1.325
61	298.15	200	1.494
61	298.15	400	1.635
61	323.15	100	1.047
61	323.15	200	1.208
61	323.15	400	1.4
61	323.15	600	1.511
61	373.15	100	0.7313
61	373.15	200	1.07
61	373.15	400	1.325
61	373.15	600	1.541
61	373.15	800	1.871
61	423.15	100	0.6005
61	423.15	200	1.098
61	423.15	400	1.611
61	423.15	600	2.308
61	423.15	800	3.182
