Literature	T(K)	P(bar)	mCO2
4	323.15	405.3	1.48523
4	323.15	607.95	1.63871
4	323.15	709.28	1.71054
4	348.15	25.33	0.30405
4	348.15	50.66	0.5617
4	348.15	75.99	0.76042
4	348.15	101.32	0.91951
4	348.15	151.99	1.09664
4	348.15	202.65	1.18944
4	348.15	303.98	1.31659
4	348.15	405.3	1.42233
4	348.15	709.28	1.67708
4	373.15	25.33	0.23936
4	373.15	50.66	0.45414
4	373.15	75.99	0.6375
4	373.15	101.32	0.78835
4	373.15	151.99	1.01388
4	373.15	202.65	1.14634
4	373.15	303.98	1.31748
4	373.15	405.3	1.44508
4	373.15	709.28	1.71768
5	285.15	50.66	1.5856
5	285.15	75.99	1.6209
5	285.15	101.32	1.6405
5	285.15	151.99	1.7128
5	285.15	202.65	1.7743
5	285.15	303.98	1.8323
5	291.15	25.33	0.8704
5	291.15	50.66	1.429
5	291.15	75.99	1.5102
5	291.15	101.32	1.516
5	291.15	151.99	1.595
5	291.15	202.65	1.6583
5	291.15	303.98	1.7538
5	298.15	50.66	1.2149
5	298.15	75.99	1.3906
5	298.15	101.32	1.4165
5	298.15	405.3	1.723
5	304.19	25.33	0.6326
5	304.19	50.66	1.0775
5	304.19	75.99	1.3086
5	304.19	101.32	1.346
5	304.19	151.99	1.4094
5	304.19	202.65	1.4625
5	304.19	405.3	1.6409
5	304.19	506.63	1.7253
5	308.15	25.33	0.5778
5	308.15	50.66	0.9909
5	308.15	75.99	1.2421
5	308.15	101.32	1.2996
5	308.15	151.99	1.3616
5	308.15	202.65	1.4201
5	308.15	405.3	1.5941
5	308.15	506.63	1.6949
5	313.15	25.33	0.5184
5	313.15	50.66	0.9079
5	313.15	75.99	1.1515
5	313.15	101.32	1.2407
5	313.15	126.66	1.2809
5	313.15	151.99	1.3112
5	313.15	202.65	1.4161
5	313.15	405.3	1.5557
5	313.15	506.63	1.6387
6	473.15	98.0665	0.6861
6	473.15	196.133	1.372
6	473.15	294.2	1.8662
6	473.15	392.266	2.2486
6	473.15	490.333	2.563
6	523.15	98.0665	0.6009
6	523.15	196.133	1.5534
6	523.15	294.2	2.5023
6	523.15	392.266	3.2832
6	523.15	490.333	3.8939
6	573.15	156.906	1.0011
6	573.15	196.133	1.5827
6	573.15	294.2	3.1961
6	573.15	392.266	4.9681
6	573.15	490.333	8.1504
9	323.15	1.54	0.0277608
9	323.15	4.88	0.0889325
9	323.15	7.62	0.139082
9	323.15	8.92	0.166983
9	323.15	14.41	0.256452
9	323.15	25.05	0.424983
9	348.15	2.37	0.0277608
9	348.15	21	0.256452
9	348.15	35.91	0.424983
9	373.15	3.56	0.0277608
9	373.15	27.01	0.256452
9	373.15	45.6	0.424983
9	398.15	5.27	0.0277608
9	398.15	11.45	0.0889325
9	398.15	17.73	0.139082
9	398.15	21.38	0.166983
9	398.15	32.35	0.256452
9	398.15	53.89	0.424983
9	423.15	7.69	0.0277608
9	423.15	15.56	0.0889325
9	423.15	21.24	0.139082
9	423.15	24.99	0.166983
9	423.15	36.09	0.256452
9	448.15	11.97	0.0277608
9	448.15	19.77	0.0889325
9	448.15	25.96	0.139082
9	448.15	30.37	0.166983
9	448.15	40.8	0.256452
9	473.15	18.44	0.0277608
9	473.15	25.39	0.0889325
9	473.15	31.75	0.139082
9	473.15	35.85	0.166983
9	473.15	46.16	0.256452
10	373.15	3.25	0.0249835
10	373.15	6	0.0544374
10	373.15	9.2	0.0883758
10	373.15	11.91	0.115668
10	373.15	14.52	0.145218
10	373.15	18.16	0.182619
10	373.15	23.07	0.2307
10	393.15	5.99	0.0394287
10	393.15	9.39	0.0705669
10	393.15	12.65	0.100626
10	393.15	16.31	0.132948
10	393.15	19.95	0.165866
10	393.15	24.12	0.202177
10	393.15	28.48	0.238535
10	413.15	6.5	0.0260944
10	413.15	9.26	0.0511014
10	413.15	11.93	0.0739052
10	413.15	16.03	0.109539
10	413.15	20.1	0.143545
10	413.15	24.89	0.180943
10	413.15	32.47	0.239654
10	433.15	8.78	0.0216511
10	433.15	11.44	0.0466541
10	433.15	14.17	0.0727924
10	433.15	17.77	0.103411
10	433.15	21.83	0.138525
10	433.15	25.88	0.171449
10	433.15	34.8	0.241893
10	453.15	14.39	0.0449865
10	453.15	21.01	0.103411
10	453.15	26.15	0.150239
10	453.15	32.8	0.208326
10	453.15	40.7	0.27494
10	453.15	49.1	0.343399
10	453.15	62.7	0.437946
10	473.15	20	0.0377615
10	473.15	20.27	0.0505454
10	473.15	24.94	0.0867057
10	473.15	26.38	0.108982
10	473.15	31	0.142987
10	473.15	34	0.178151
10	473.15	37.6	0.208326
10	473.15	42	0.249731
10	473.15	45.7	0.278864
10	473.15	51.2	0.327111
10	473.15	60.4	0.39795
10	473.15	65.2	0.441329
10	473.15	78	0.522069
10	473.15	81.1	0.578669
11	288.15	60.8	1.51615
11	288.15	70.9	1.55015
11	288.15	76	1.55778
11	288.15	101.3	1.57422
11	288.15	121.6	1.61594
11	288.15	131.7	1.62299
11	288.15	152	1.65006
11	288.15	157.1	1.65949
11	288.15	177.3	1.69366
11	288.15	202.7	1.72493
11	288.15	243.2	1.7586
11	293.15	65.9	1.44182
11	293.15	76	1.46053
11	293.15	96.3	1.48042
11	293.15	101.3	1.49681
11	293.15	136.8	1.53432
11	293.15	146.9	1.55661
11	293.15	152	1.566
11	293.15	177.3	1.60359
11	293.15	202.7	1.62711
11	293.15	217.9	1.68482
11	298.15	76	1.3916
11	298.15	101.3	1.42955
11	298.15	136.8	1.47165
11	298.15	152	1.48393
11	298.15	177.3	1.52435
11	298.15	202.7	1.56072
12	450.15	25.25	0.12434
12	475.15	34.11	0.15764
12	477.15	53.38	0.32472
12	502.15	74.18	0.42908
12	502.15	71.35	0.42186
12	508.15	60.59	0.26366
12	534.15	101.01	0.60504
12	534.15	97.49	0.56618
12	538.15	74.05	0.26311
12	538.15	71.34	0.23757
13	353.65	23.3	0.262
13	353.35	43.1	0.476
13	353.75	43.4	0.47
13	353.65	61.1	0.629
13	353.65	77.6	0.771
13	353.65	78.4	0.777
13	353.45	101.6	0.925
13	352.85	101.8	0.937
13	393.05	21.1	0.189
13	393.25	21.3	0.195
13	393.25	40.5	0.363
13	393.05	40.9	0.374
13	393.15	59.6	0.51
13	393.15	60.5	0.51
13	393.05	81.1	0.668
13	393.25	81.6	0.674
13	393.25	99.6	0.799
13	393.45	99.8	0.817
13	432.85	20.4	0.161
13	433.05	20.6	0.161
13	433.05	39.1	0.301
13	433.15	39.4	0.313
13	432.85	59.4	0.448
13	432.95	80.6	0.617
13	432.95	80.7	0.617
13	470.95	24.5	0.122
13	471.25	45.6	0.318
13	471.15	46	0.29
13	470.85	62.4	0.436
13	471.15	79.7	0.595
13	470.75	80.2	0.612
13	471.25	102	0.731
13	471.15	102.1	0.788
14	374.15	623.149	1.61123
14	374.15	565.393	1.58773
14	374.15	524.863	1.51732
14	374.15	457.989	1.42955
14	374.15	448.87	1.44124
14	374.15	329.306	1.31295
14	374.15	324.24	1.32459
14	374.15	293.842	1.25483
14	374.15	286.75	1.27806
14	374.15	214.809	1.17366
14	374.15	212.782	1.16208
14	374.15	110.444	0.862728
14	374.15	108.418	0.845554
14	374.15	57.7552	0.606214
14	393.15	703.195	1.71726
14	393.15	654.559	1.71136
14	393.15	577.552	1.65831
14	393.15	569.446	1.64653
14	393.15	364.77	1.42371
14	393.15	357.677	1.41203
14	393.15	189.478	1.13316
14	393.15	188.464	1.09272
14	393.15	69.9142	0.589196
14	393.15	68.901	0.560856
14	393.15	23.3047	0.222991
14	393.15	23.3047	0.211799
15	303.85	39.1	0.824
15	310.75	40.55	0.831
15	321.15	43.17	0.792
15	332.05	46.28	0.721
15	352.35	53.1	0.524
15	373.35	58.63	0.504
15	388.15	63.11	0.504
15	403.15	67.94	0.502
15	415.75	71.73	0.542
15	423.15	73.94	0.577
15	434.15	77.94	0.6
15	443.15	81.86	0.597
15	448.15	84.49	0.586
15	461.55	90.35	0.626
15	469.45	93.84	0.668
15	475.85	97.6	0.674
15	483.15	101.39	0.715
15	493.15	106.91	0.784
15	504.15	114.91	0.821
15	514.15	121.73	0.869
15	523.45	126.22	1.045
15	497.55	110.49	0.767
15	492.85	107.96	0.74
15	487.95	104.83	0.703
15	480.95	100.7	0.678
15	473.15	96.21	0.662
15	460.45	89.59	0.632
15	452.55	85.86	0.62
15	435.85	78.9	0.584
15	428.15	75.94	0.573
15	418.15	72.42	0.554
15	401.25	66.89	0.531
15	395.95	65.18	0.532
15	391.55	64.14	0.506
15	384.05	62.07	0.487
15	376.85	59.86	0.491
15	370.55	58.14	0.494
15	363.15	55.94	0.517
15	356.35	54.21	0.515
15	342.85	50.49	0.551
15	309.45	40.83	0.762
15	536.15	140.36	0.993
15	537.75	143.87	0.92
18	274.15	0.76	0.055176
18	274.15	2.51	0.17893
18	274.15	4.72	0.33844
18	274.15	7.75	0.53788
18	274.15	10.56	0.71745
18	274.15	13.62	0.90316
18	276.15	0.79	0.053618
18	276.15	2.62	0.17373
18	276.15	4.95	0.3272
18	276.15	8.09	0.52091
18	276.15	11	0.69639
18	276.15	14.2	0.87337
18	278.15	0.83	0.052005
18	278.15	2.74	0.16887
18	278.15	5.16	0.31799
18	278.15	8.42	0.50542
18	278.15	11.46	0.6742
18	278.15	14.79	0.84418
18	278.15	18.58	1.0014
18	280.15	0.86	0.050671
18	280.15	2.85	0.1639
18	280.15	5.38	0.30806
18	280.15	8.76	0.48886
18	280.15	11.94	0.65146
18	280.15	15.38	0.81501
18	280.15	19.24	0.96802
18	282.15	0.9	0.049058
18	282.15	2.97	0.15893
18	282.15	5.6	0.29852
18	282.15	9.06	0.47548
18	282.15	12.37	0.63158
18	282.15	15.89	0.79102
18	282.15	19.82	0.94045
18	284.15	0.94	0.047334
18	284.15	3.09	0.15419
18	284.15	5.8	0.29021
18	284.15	9.4	0.45979
18	284.15	12.89	0.60718
18	284.15	16.41	0.76705
18	284.15	20.51	0.90603
18	286.15	0.97	0.046055
18	286.15	3.2	0.14961
18	286.15	6	0.28186
18	286.15	9.71	0.44596
18	286.15	13.36	0.5862
18	286.15	16.96	0.74138
18	286.15	21.13	0.87623
18	288.15	1.01	0.04461
18	288.15	3.32	0.14492
18	288.15	6.2	0.27339
18	288.15	9.98	0.43474
18	288.15	13.76	0.5692
18	288.15	17.48	0.71859
18	288.15	21.79	0.84532
21	323.2	40.5	0.61172
21	323.2	50.6	0.77104
21	323.2	60.6	0.90832
21	323.2	70.8	0.99447
21	323.2	80.8	1.0751
21	323.2	90.9	1.1328
21	323.2	100.9	1.1618
21	323.2	111	1.1907
21	323.2	122	1.2139
21	323.2	141.1	1.2313
21	333.2	40.5	0.53805
21	333.2	50.6	0.67989
21	333.2	60.6	0.77675
21	333.2	70.8	0.8854
21	333.2	80.8	0.93701
21	333.2	90.9	1.0117
21	333.2	100.9	1.052
21	333.2	111	1.104
21	333.2	121	1.1386
21	333.2	141.1	1.1791
21	353.1	40.5	0.44766
21	353.1	60.6	0.6401
21	353.1	70.8	0.71973
21	353.1	80.8	0.78816
21	353.1	90.9	0.85104
21	353.1	100.9	0.90259
21	353.1	111	0.97147
21	353.1	121	0.99447
21	353.1	131	1.0405
22	288.75	50.7	1.4801
22	298.15	50.7	1.1984
22	302.55	55.2	1.158
22	304.25	6.9	0.18558
22	304.25	25.3	0.59652
22	304.25	50.7	1.034
22	348.15	6.9	0.083389
22	348.15	25.3	0.30452
22	348.15	50.7	0.56778
22	348.15	101.4	0.91767
22	348.15	202.7	1.193
22	366.45	6.9	0.054286
22	366.45	25.3	0.24414
22	366.45	50.7	0.47661
22	366.45	101.4	0.82199
22	366.45	202.7	1.1755
22	288.75	101.4	1.377
22	288.75	202.7	1.488
22	298.15	101.4	1.417
22	298.15	202.7	1.464
22	302.55	101.4	1.359
22	302.55	202.7	1.499
22	304.2	101.4	1.371
22	304.2	202.7	1.493
24	273.15	10.13	0.7117
24	273.15	25.33	1.3603
24	273.15	30.4	1.5025
24	278.15	10.13	0.5913
24	278.15	20.26	1.0204
24	278.15	38.5	1.4407
24	283.15	10.13	0.4775
24	283.15	20.26	0.8635
24	283.15	38.5	1.2392
24	285.55	45.6	1.2501
24	298.15	20.26	0.5459
24	298.15	45.6	0.9337
25	278.05	20	1.0348
25	280.45	20	0.95998
25	282.25	20	0.87967
25	281.55	30	1.2603
25	283.05	30	1.1907
25	283.15	37	1.33
25	277.05	20	1.023
25	281.65	37	1.394
25	282.55	42	1.458
27	293	64.4	1.4233
27	293	98.7	1.4701
27	293	147.7	1.5697
27	293	196.8	1.6755
27	293	245.8	1.7404
27	293	294.9	1.7877
27	298	75	1.3883
27	298	100	1.4175
27	298	150	1.4701
27	298	200	1.5228
27	298	250	1.5755
27	298	300	1.6225
27	278	64.4	1.6755
27	278	98.7	1.764
27	278	147.7	1.835
27	278	196.8	1.9003
27	278	245.8	1.9597
27	278	294.9	2.0073
27	283	64.4	1.5932
27	283	98.7	1.6814
27	283	147.7	1.7463
27	283	196.8	1.8113
27	283	245.8	1.8706
27	283	294.9	1.9181
27	288	64.4	1.5345
27	288	98.7	1.599
27	288	147.7	1.6932
27	288	196.8	1.7699
27	288	245.8	1.8291
27	288	294.9	1.8765
27	293	1	0.03888
27	293	30.4	0.79959
27	293	40.5	1.0924
27	293	50.7	1.1328
27	298	1	0.03333
27	298	20.3	0.54371
27	298	50.7	1.2139
27	278	1	0.061127
27	278	11	0.58903
27	278	20.3	1.0232
27	283	1	0.055565
27	283	11	0.47587
27	283	20.3	0.86249
27	288	1	0.044443
27	288	11	0.37442
27	288	20.3	0.67989
27	288	30.4	0.90832
27	288	50.7	1.2081
28	323.15	100	1.1323
28	323.15	200	1.3027
28	323.15	400	1.514
28	323.15	600	1.6308
28	373.15	100	0.8133
28	373.15	200	1.1502
28	373.15	400	1.4286
28	373.15	600	1.662
28	373.15	800	2.0258
29	283.15	10	0.49412
29	283.15	25	1.1369
29	283.15	35	1.4378
29	298.15	10	0.2942
29	298.15	25	0.70299
29	298.15	35	0.93431
29	298.15	50	1.2029
29	323.15	10	0.1801
29	323.15	25	0.42899
29	323.15	35	0.57719
29	323.15	50	0.76362
29	323.15	75	1.0017
29	323.15	100	1.1409
29	323.15	130	1.2083
29	323.15	160	1.2577
29	343.15	10	0.13477
29	343.15	25	0.31664
29	343.15	35	0.43254
29	343.15	50	0.58166
29	343.15	75	0.79056
29	343.15	100	0.94464
29	343.15	130	1.0663
29	343.15	160	1.1409
31	298.29	76.9	1.4233
31	298.31	21.7	0.69696
31	298.31	30.5	0.8854
31	298.31	30.8	0.93127
31	298.32	41.2	1.1155
31	298.32	41.5	1.1444
31	298.32	72	1.4467
31	298.44	52.6	1.2835
31	298.57	53.3	1.2487
32	273.15	10.84	0.74937
32	273.15	15.95	1.0232
32	273.15	29.86	1.5046
32	298.15	11.1	0.35676
32	298.15	11.13	0.34102
32	298.15	11.13	0.34777
32	298.15	11.18	0.34822
32	298.15	22.04	0.66454
32	298.15	23.22	0.6969
32	298.15	24.98	0.71483
32	298.15	25	0.71483
32	298.15	25.1	0.72252
32	298.15	26.34	0.75547
32	298.15	31.82	0.87795
32	298.15	34.82	0.93724
32	298.15	34.92	0.93948
32	298.15	39.34	1.0486
32	298.15	39.7	1.0541
32	298.15	44.68	1.153
32	298.15	45.65	1.1547
32	298.15	56.8	1.3035
32	298.15	56.89	1.307
32	298.15	63.73	1.3668
32	323.15	19.39	0.34777
32	323.15	19.39	0.35316
32	323.15	19.41	0.34327
32	323.15	33	0.55849
32	323.15	33.01	0.54768
32	323.15	33.21	0.56976
32	323.15	33.23	0.55266
32	323.15	47.42	0.71574
32	323.15	47.5	0.7207
32	323.15	47.5	0.74583
32	323.15	57.76	0.85865
32	323.15	61.1	0.90087
32	323.15	61.73	0.91211
32	323.15	61.91	0.91612
32	323.15	62.82	0.92197
32	323.15	74.19	1.015
32	323.15	74.8	1.0455
32	323.15	75.49	1.0334
32	323.15	90.79	1.1682
32	323.15	92.71	1.1538
32	323.15	93.22	1.1619
32	348.15	19.07	0.24846
32	348.15	19.11	0.24353
32	348.15	19.25	0.2395
32	348.15	19.25	0.24442
32	348.15	32.63	0.40076
32	348.15	32.71	0.40437
32	348.15	33.11	0.40662
32	348.15	47.22	0.55221
32	348.15	47.24	0.54428
32	348.15	61.07	0.68472
32	348.15	61.73	0.67665
32	348.15	61.84	0.67892
32	348.15	62.03	0.68518
32	348.15	76.7	0.7917
32	348.15	76.94	0.80873
32	348.15	77.36	0.80113
32	348.15	93.27	0.90626
32	348.15	94.46	0.90895
32	373.15	19.34	0.19368
32	373.15	19.36	0.19273
32	373.15	19.53	0.19273
32	373.15	32.49	0.32035
32	373.15	33.01	0.32934
32	373.15	33.1	0.32529
32	373.15	33.13	0.32439
32	373.15	33.21	0.3226
32	373.15	46.71	0.44839
32	373.15	47.36	0.45426
32	373.15	47.39	0.45606
32	373.15	47.51	0.44438
32	373.15	61.71	0.60792
32	373.15	61.76	0.54994
32	373.15	61.81	0.58676
32	373.15	62.11	0.60746
32	373.15	75.99	0.69696
32	373.15	91.19	0.81558
37	283.15	1.01	0.053674
37	283.15	5.07	0.26078
37	283.15	10.13	0.50254
37	283.15	15.2	0.72605
37	283.15	20.27	0.93282
37	293.15	1.01	0.039273
37	293.15	5.07	0.19033
37	293.15	10.13	0.36795
37	293.15	15.2	0.53426
37	293.15	20.27	0.6924
37	303.15	1.01	0.029991
37	303.15	5.07	0.1466
37	303.15	10.13	0.285
37	303.15	15.2	0.41592
37	303.15	20.27	0.53913
38	303.15	9.93	0.27754
38	303.15	19.25	0.52159
38	303.15	29.99	0.76819
38	303.15	38.91	0.97888
38	323.15	9.93	0.18569
38	323.15	19.15	0.34001
38	323.15	29.89	0.52504
38	323.15	39.01	0.67972
38	353.15	8.82	0.10974
38	353.15	9.83	0.12144
38	353.15	18.85	0.2302
38	353.15	29.79	0.34878
38	353.15	38.81	0.44709
41	286.45	1.02851	0.04725
41	288.05	1.03015	0.0450637
41	290.75	1.03335	0.0413604
41	292.95	1.0363	0.0389511
41	298.95	1.04641	0.0332267
41	302.95	1.05514	0.0295457
41	303.45	1.05642	0.0294476
41	306.35	1.06414	0.0274487
41	307.45	1.06735	0.0270694
41	307.75	1.06822	0.0267616
41	315.65	1.09741	0.022398
41	319.55	1.11621	0.0207471
41	321.55	1.12716	0.020301
41	324.25	1.14358	0.0189892
41	327.45	1.1655	0.0180522
41	336.25	1.24295	0.015576
41	341.35	1.30147	0.0146033
41	345.55	1.35866	0.0136931
41	347.85	1.39374	0.013412
42	273.35	1.01945	0.0759613
42	298.15	1.04494	0.0338513
42	313.15	1.08706	0.0230806
43	293.02	1.03639	0.0397153
43	298.07	1.04471	0.0345931
43	303.02	1.05529	0.0305308
43	273.15	1.01937	0.07701
43	278.15	1.02198	0.0640277
43	283.15	1.02553	0.0536558
43	288.15	1.03031	0.0455892
43	293.15	1.03664	0.0393255
43	298.15	1.04494	0.0345838
43	303.15	1.0557	0.0303612
43	308.15	1.06952	0.0269384
43	313.15	1.08706	0.0242563
43	318.15	1.10915	0.0221352
43	323.15	1.13669	0.0199899
44	273.15	1.01325	0.0760455
44	275.15	1.01325	0.07025
44	277.15	1.01325	0.06525
44	279.15	1.01325	0.0609318
44	281.15	1.01325	0.0566364
44	283.15	1.01325	0.0526818
44	285.15	1.01325	0.0492045
44	287.15	1.01325	0.0461818
44	289.15	1.01325	0.04325
44	291.15	1.01325	0.0406591
44	293.15	1.01325	0.0383636
44	295.15	1.01325	0.0361364
44	297.15	1.01325	0.0339318
44	299.15	1.01325	0.0319545
44	301.15	1.01325	0.0301591
44	303.15	1.01325	0.0285682
44	308.15	1.01325	0.0251136
44	313.15	1.01325	0.0221136
44	318.15	1.01325	0.0195455
44	323.15	1.01325	0.0172955
44	333.15	1.01325	0.0130909
45	323.15	68.2	0.9318
45	323.15	75.3	0.9887
45	323.15	87.2	0.999
45	323.15	101.3	1.1797
45	323.15	122.1	1.1884
45	323.15	147.5	1.2574
45	323.15	176.8	1.2847
46	344.25	100	0.9373
46	344.25	125	1.0293
46	344.25	150	1.1158
46	344.25	200	1.2084
46	344.25	500	1.4588
46	344.25	750	1.6289
46	344.25	1000	1.8178
47	278.15	0.4906	0.030602
47	278.15	0.5088	0.031603
47	303.12	0.6419	0.018157
47	303.12	0.6583	0.018546
47	308.08	0.6834	0.016936
47	308.08	0.7017	0.017269
47	333.15	0.7844	0.0098269
47	333.15	0.7937	0.010049
47	338.15	0.833	0.0090495
47	338.15	0.8417	0.0092161
48	278.22	5.01	0.32664
48	278.22	7.55	0.477
48	278.22	10.16	0.62364
48	278.22	13.22	0.78988
48	278.22	16.74	0.98699
48	278.22	20.31	1.1415
48	288.26	4.96	0.22349
48	288.26	11.03	0.48547
48	288.26	19.41	0.80758
48	288.26	27.77	1.0647
48	288.26	37.19	1.3318
48	288.26	46.01	1.5245
48	288.26	50.59	1.5973
48	298.28	5.04	0.17485
48	298.28	10.07	0.34293
48	298.28	14.96	0.49677
48	298.28	24.83	0.76305
48	298.28	34.91	1.0014
48	298.28	44.92	1.1843
48	298.28	55.24	1.3201
48	308.2	5.79	0.15363
48	308.2	18.89	0.47926
48	308.2	29.5	0.68103
48	308.2	30.29	0.70777
48	308.2	40.05	0.88139
48	308.2	49.85	1.0388
48	308.2	59.49	1.1519
48	308.2	60.77	1.171
48	308.2	69.72	1.2655
48	308.2	69.86	1.2208
